home,away,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,imp_over,imp_under,p_over_absdiff_5050,is_main_line,main_line,mu_match,mu_league,alpha_used,gameweek,home_team,away_team,league
Mainz 05,Hamburger SV,7.5,0.68524,0.31476000000000004,1.3648921736274746,2.8790118973208925,0.732658608,0.347341392,0.18523999999999996,False,8.5,9.1925,9.654822335025381,0.020719999663256463,23,Mainz 05,Hamburger SV,BL
Mainz 05,Hamburger SV,8.5,0.5601,0.43989999999999996,1.6698423728914313,2.0783924748225617,0.5988589200000001,0.48114107999999994,0.06010000000000004,True,8.5,9.1925,9.654822335025381,0.020719999663256463,23,Mainz 05,Hamburger SV,BL
Mainz 05,Hamburger SV,9.5,0.4362,0.5638000000000001,2.1441511074197406,1.6296864730938108,0.46638504000000003,0.6136149600000002,0.06380000000000002,False,8.5,9.1925,9.654822335025381,0.020719999663256463,23,Mainz 05,Hamburger SV,BL
Mainz 05,Hamburger SV,10.5,0.3229,0.6771,2.89649647896095,1.3609972909076724,0.34524468,0.7347553200000001,0.17709999999999998,False,8.5,9.1925,9.654822335025381,0.020719999663256463,23,Mainz 05,Hamburger SV,BL
Mainz 05,Hamburger SV,11.5,0.22668,0.77332,4.125986911313265,1.1938392013968337,0.242366256,0.8376337440000001,0.27332,False,8.5,9.1925,9.654822335025381,0.020719999663256463,23,Mainz 05,Hamburger SV,BL
Mainz 05,Hamburger SV,12.5,0.1493,0.8507,6.2644254056027515,1.0865213935410474,0.15963156,0.9203684400000002,0.3507,False,8.5,9.1925,9.654822335025381,0.020719999663256463,23,Mainz 05,Hamburger SV,BL
Wolfsburg,Augsburg,7.5,0.77404,0.22596000000000005,1.2083079854484147,3.9620211429930188,0.827603568,0.25239643200000006,0.27403999999999995,False,9.5,10.06174,9.654822335025381,0.020719999663256463,23,Wolfsburg,Augsburg,BL
Wolfsburg,Augsburg,8.5,0.6643,0.3357,1.4079161719953195,2.7046731667535946,0.7102695600000001,0.36973044000000005,0.1643,False,9.5,10.06174,9.654822335025381,0.020719999663256463,23,Wolfsburg,Augsburg,BL
Wolfsburg,Augsburg,9.5,0.54376,0.45624,1.720021173047835,2.0055682275378444,0.581388192,0.498611808,0.04376000000000002,True,9.5,10.06174,9.654822335025381,0.020719999663256463,23,Wolfsburg,Augsburg,BL
Wolfsburg,Augsburg,10.5,0.42266,0.57734,2.2128394289889997,1.5921236293933074,0.4519080720000001,0.628091928,0.07734000000000002,False,9.5,10.06174,9.654822335025381,0.020719999663256463,23,Wolfsburg,Augsburg,BL
Wolfsburg,Augsburg,11.5,0.3142,0.6858,2.9766986411727907,1.3439824047973936,0.33594264,0.74405736,0.18580000000000002,False,9.5,10.06174,9.654822335025381,0.020719999663256463,23,Wolfsburg,Augsburg,BL
Wolfsburg,Augsburg,12.5,0.22252,0.77748,4.203122025240386,1.1875333471239204,0.237918384,0.8420816160000001,0.27748,False,9.5,10.06174,9.654822335025381,0.020719999663256463,23,Wolfsburg,Augsburg,BL
