team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
Augsburg,-0.02287552168024307,0.0013000130581093505,54.0,1.0,1.012599950408132,8.142746636386155
Bayer Leverkusen,0.19481287448588105,-0.19000801652427163,53.0,1.0,0.9799055999697059,8.360413723263713
Bayern München,0.2726548267417045,-0.46687678638934876,56.0,1.0,0.9837234674843031,6.851592429327567
Bochum,0.08675139595392513,0.13033181254935272,31.0,1.0,0.9879404012630212,10.337584814290501
Borussia Dortmund,0.15604017958355265,-0.15437965951907254,54.0,1.0,1.0048364591990666,8.334167043397832
Borussia M'gladbach,-0.013291744995167713,0.030456160885395954,55.0,1.0,1.0074398157591031,8.464385942767091
Eintracht Frankfurt,0.01240461067645173,-0.05222940873367238,55.0,1.0,0.9963717673306917,7.9954950017313315
Freiburg,-0.11937437017128878,-0.13734551817470916,56.0,1.0,0.991099847840356,6.436488761080194
Hamburger SV,-0.3103408421142026,0.012568156198730904,21.0,1.0,0.9962655553798441,6.177603236419889
Heidenheim,-0.04413089455579246,0.005139645800893239,55.0,1.0,1.0067072442920597,8.00216241943638
Hoffenheim,0.05558725287492649,0.12561161854245595,55.0,1.0,1.0015806522574675,9.973204312329846
Holstein Kiel,-0.47816853686126226,0.24907964695855217,31.0,1.0,1.0106402170051052,6.616815199077638
Köln,-0.1780216530854887,0.25031626505644794,22.0,1.0,0.9632384502429175,8.944131941943349
Mainz 05,0.04783223669689165,-0.02182998199857486,56.0,1.0,1.0005394284920315,8.539524362889837
RB Leipzig,0.059106207296030944,0.03935849467527021,56.0,1.0,1.004197211238115,9.18129037344588
St. Pauli,-0.003723528186520716,-0.04380516744887166,55.0,1.0,1.0001346378640672,7.9341351854963715
Stuttgart,0.1216222626981953,-0.05721307020782501,55.0,1.0,0.9965507186109475,8.873881052572559
Union Berlin,0.04977983651371537,-0.06458728705345033,51.0,1.0,1.0078191867743456,8.198044135833086
Werder Bremen,0.022704781732890887,-0.02211950388824301,51.0,1.0,1.014699927939225,8.325210611155592
Wolfsburg,-0.0547579243597502,0.21945384190812883,54.0,1.0,1.0043859839930465,9.809967630097152
