team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
Angers SCO,-0.21518495118612527,0.02341595281078585,56.0,1.0,1.0002028375902337,7.20277294927312
Auxerre,-0.05551964666975483,0.12728632927399453,55.0,1.0,0.9981931499719708,9.374579942326843
Brest,-0.07881848561205149,0.051647047918784605,54.0,1.0,1.0166891103707085,8.491482857722296
Le Havre,-0.09889448394056116,0.05978724752081857,53.0,1.0,1.0220247808274616,8.39073269039981
Lens,0.1496690926598732,-0.17545562462420924,53.0,1.0,0.9968312725055484,8.50325090791825
Lille,0.17442752664842542,-0.1567593590897779,54.0,1.0,1.0096974822636144,8.88090307665978
Lorient,-0.35415001140771457,0.087409086688555,22.0,1.0,1.0014986185444699,6.682513287138758
Metz,-0.16871818276365658,0.054206213075484046,22.0,1.0,0.998954003236356,7.781297611618149
Monaco,0.09487551417236212,-0.2063635595397047,56.0,1.0,0.999330051080743,7.804863279153867
Montpellier,-0.03365684136873645,0.12426610115317137,33.0,1.0,0.990288803807647,9.552895878533981
Nantes,-0.19066748868294722,0.24837280010159435,56.0,1.0,0.9999411466776648,9.243682946434554
Nice,0.08674199051202013,0.14438443849978153,56.0,1.0,1.0026403568950124,10.994130188090127
Olympique Lyonnais,0.16390295581742342,0.0063201902090323425,55.0,1.0,0.9942573774026726,10.344533626107733
Olympique Marseille,0.08849348424445753,-0.3297578740566469,55.0,1.0,0.993118135068395,6.854947760095854
PSG,0.2957978251528053,-0.37257591759808495,54.0,1.0,0.992235204096958,8.080526163446981
Paris,-0.09766431183463777,0.03479625949938182,22.0,1.0,1.0010077599179048,8.19371199117857
Reims,-0.18364141134202178,0.19982465074598327,33.0,1.0,0.9939117451000141,8.867725360044838
Rennes,0.09498648512239792,-0.07032465066898703,53.0,1.0,0.9807718810462416,8.94323085030163
Saint-Étienne,-0.12463399451971623,0.2089188345343967,32.0,1.0,0.9959727741845624,9.492670002585802
Strasbourg,-0.12870939207447882,-0.03713389000559317,55.0,1.0,0.9936690749438984,7.391951698443308
Toulouse,0.01441262799342567,-0.09661560453604351,55.0,1.0,1.0004655620206837,8.036808933232406
