home,away,line,p_over,p_under,bookmaker_odds_over,bookmaker_odds_under,imp_over,imp_under,p_over_absdiff_5050,is_main_line,main_line,mu_match,mu_league,alpha_used,gameweek,home_team,away_team,league
RCD Espanyol,Real Sociedad,7.5,0.76704,0.23295999999999994,1.2193349930335977,3.847917494738512,0.8201191680000001,0.25988083199999995,0.26704000000000006,False,9.5,9.91488,9.652719665271967,0.007120000000000004,38,RCD Espanyol,Real Sociedad,LL
RCD Espanyol,Real Sociedad,8.5,0.65289,0.34711000000000003,1.432521118498508,2.6182807545378233,0.698069988,0.38193001200000004,0.15288999999999997,False,9.5,9.91488,9.652719665271967,0.007120000000000004,38,RCD Espanyol,Real Sociedad,LL
RCD Espanyol,Real Sociedad,9.5,0.5282,0.4718,1.7706904828786267,1.9408108583554315,0.5647514400000001,0.51524856,0.028200000000000003,True,9.5,9.91488,9.652719665271967,0.007120000000000004,38,RCD Espanyol,Real Sociedad,LL
RCD Espanyol,Real Sociedad,10.5,0.40557,0.59443,2.306084555209929,1.5471145357790936,0.433635444,0.646364556,0.09443000000000001,False,9.5,9.91488,9.652719665271967,0.007120000000000004,38,RCD Espanyol,Real Sociedad,LL
RCD Espanyol,Real Sociedad,11.5,0.29611,0.70389,3.158551595881567,1.3099306571439528,0.316600812,0.7633991880000001,0.20389000000000002,False,9.5,9.91488,9.652719665271967,0.007120000000000004,38,RCD Espanyol,Real Sociedad,LL
RCD Espanyol,Real Sociedad,12.5,0.20436,0.79564,4.5766231799593395,1.1607684123453532,0.21850171200000004,0.8614982880000001,0.29564,False,9.5,9.91488,9.652719665271967,0.007120000000000004,38,RCD Espanyol,Real Sociedad,LL
Celta Vigo,Sevilla FC,7.5,0.697985,0.30201500000000003,1.3399696455604215,2.996573975022321,0.7462855620000001,0.33371443800000006,0.19798499999999997,False,9.5,9.22163,9.652719665271967,0.007120000000000004,38,Celta Vigo,Sevilla FC,LL
Celta Vigo,Sevilla FC,8.5,0.571425,0.42857500000000004,1.6367479775237186,2.132048918839059,0.61096761,0.4690323900000001,0.07142499999999996,False,9.5,9.22163,9.652719665271967,0.007120000000000004,38,Celta Vigo,Sevilla FC,LL
Celta Vigo,Sevilla FC,9.5,0.442025,0.557975,2.1158955105627304,1.6463971307117653,0.47261313,0.60738687,0.057975,True,9.5,9.22163,9.652719665271967,0.007120000000000004,38,Celta Vigo,Sevilla FC,LL
Celta Vigo,Sevilla FC,10.5,0.323035,0.676965,2.895286000143919,1.361264710095307,0.345389022,0.7346109780000001,0.17696499999999998,False,9.5,9.22163,9.652719665271967,0.007120000000000004,38,Celta Vigo,Sevilla FC,LL
Celta Vigo,Sevilla FC,11.5,0.22141,0.77859,4.2241936364956,1.185862018303856,0.23673157200000003,0.8432684280000001,0.27859,False,9.5,9.22163,9.652719665271967,0.007120000000000004,38,Celta Vigo,Sevilla FC,LL
Celta Vigo,Sevilla FC,12.5,0.144305,0.855695,6.48126338696851,1.0802529719989982,0.154290906,0.925709094,0.355695,False,9.5,9.22163,9.652719665271967,0.007120000000000004,38,Celta Vigo,Sevilla FC,LL
Girona FC,Elche CF,7.5,0.73292,0.26708,1.2760993192387857,3.374252488349246,0.783638064,0.296361936,0.23292000000000002,False,9.5,9.554645,9.652719665271967,0.007120000000000004,38,Girona FC,Elche CF,LL
Girona FC,Elche CF,8.5,0.61248,0.38752,1.5270355163539884,2.3521863515685357,0.654863616,0.425136384,0.11248000000000002,False,9.5,9.554645,9.652719665271967,0.007120000000000004,38,Girona FC,Elche CF,LL
Girona FC,Elche CF,9.5,0.484655,0.5153449999999999,1.9297824494877611,1.779971100887598,0.518193126,0.561806874,0.015344999999999998,True,9.5,9.554645,9.652719665271967,0.007120000000000004,38,Girona FC,Elche CF,LL
Girona FC,Elche CF,10.5,0.362715,0.637285,2.578549861617222,1.4447002228400976,0.38781487800000003,0.6921851219999999,0.137285,False,9.5,9.554645,9.652719665271967,0.007120000000000004,38,Girona FC,Elche CF,LL
Girona FC,Elche CF,11.5,0.25772,0.74228,3.6290497945696525,1.243091865025841,0.275554224,0.8044457760000001,0.24228,False,9.5,9.554645,9.652719665271967,0.007120000000000004,38,Girona FC,Elche CF,LL
Girona FC,Elche CF,12.5,0.172295,0.827705,5.428356673475672,1.1163428070225099,0.184217814,0.895782186,0.327705,False,9.5,9.554645,9.652719665271967,0.007120000000000004,38,Girona FC,Elche CF,LL
Real Madrid,Athletic Club Bilbao,7.5,0.63823,0.36177000000000004,1.4654258073993558,2.5150621792283405,0.682395516,0.39760448400000004,0.13822999999999996,False,8.5,8.721845,9.652719665271967,0.007120000000000004,38,Real Madrid,Athletic Club Bilbao,LL
Real Madrid,Athletic Club Bilbao,8.5,0.505355,0.494645,1.8507360430914719,1.8529690068660913,0.540325566,0.539674434,0.005354999999999999,True,8.5,8.721845,9.652719665271967,0.007120000000000004,38,Real Madrid,Athletic Club Bilbao,LL
Real Madrid,Athletic Club Bilbao,9.5,0.37623,0.6237699999999999,2.4859227415583307,1.4755032146168827,0.40226511600000003,0.6777348839999999,0.12376999999999999,False,8.5,8.721845,9.652719665271967,0.007120000000000004,38,Real Madrid,Athletic Club Bilbao,LL
Real Madrid,Athletic Club Bilbao,10.5,0.26333,0.7366699999999999,3.5517362740914087,1.2524303975458055,0.2815524360000001,0.7984475639999999,0.23667,False,8.5,8.721845,9.652719665271967,0.007120000000000004,38,Real Madrid,Athletic Club Bilbao,LL
Real Madrid,Athletic Club Bilbao,11.5,0.173525,0.826475,5.389878767073855,1.1179841422222507,0.18553293000000004,0.8944670700000001,0.32647499999999996,False,8.5,8.721845,9.652719665271967,0.007120000000000004,38,Real Madrid,Athletic Club Bilbao,LL
Real Madrid,Athletic Club Bilbao,12.5,0.108475,0.891525,8.622066956040477,1.0373244588981083,0.11598147,0.9640185300000002,0.391525,False,8.5,8.721845,9.652719665271967,0.007120000000000004,38,Real Madrid,Athletic Club Bilbao,LL
Alaves,Rayo Vallecano,7.5,0.749625,0.250375,1.2476621151328875,3.59065202470584,0.8014990500000001,0.27850095,0.24962499999999999,False,9.5,9.72491,9.652719665271967,0.007120000000000004,38,Alaves,Rayo Vallecano,LL
Alaves,Rayo Vallecano,8.5,0.631895,0.368105,1.4801172869804173,2.472934559677408,0.675622134,0.40437786600000003,0.13189499999999998,False,9.5,9.72491,9.652719665271967,0.007120000000000004,38,Alaves,Rayo Vallecano,LL
Alaves,Rayo Vallecano,9.5,0.505765,0.494235,1.8492357380532276,1.8544753781693482,0.5407639380000001,0.539236062,0.00576500000000002,True,9.5,9.72491,9.652719665271967,0.007120000000000004,38,Alaves,Rayo Vallecano,LL
Alaves,Rayo Vallecano,10.5,0.383645,0.616355,2.4378754136154273,1.4929678987446955,0.4101932340000001,0.669806766,0.11635499999999999,False,9.5,9.72491,9.652719665271967,0.007120000000000004,38,Alaves,Rayo Vallecano,LL
Alaves,Rayo Vallecano,11.5,0.27534,0.7246600000000001,3.3968138049556575,1.2729019370909662,0.294393528,0.7856064720000001,0.22466000000000003,False,9.5,9.72491,9.652719665271967,0.007120000000000004,38,Alaves,Rayo Vallecano,LL
