team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
AC Milan,0.18724929577544908,-0.07425731805959514,61.0,1.0,1.005326862901742,8.793005481753227
Atalanta,0.18099471715436735,-0.1473313039566898,61.0,1.0,0.9853237086831262,8.122418943863329
Bologna,0.10311749169977666,-0.2585765173228197,62.0,1.0,0.98690258779764,6.7228056206658895
Cagliari,-0.013445064626488184,0.11382836530811889,62.0,1.0,1.0011537421522727,8.682833337547699
Como,-0.007903066703372305,-0.23867002353191147,62.0,1.0,0.9931219740746307,6.137340505308985
Cremonese,-0.503618168316468,0.42522489091079396,25.0,1.0,0.9712555944271877,7.261390349504405
Empoli,0.07919746375037305,0.051178438630204444,37.0,1.0,1.0191985125282932,8.947198785923709
Fiorentina,-0.013429436869553576,-0.09744036591699712,62.0,1.0,1.0133280518752608,7.029353884777011
Genoa,-0.10356464426157494,0.1246702737659668,61.0,1.0,1.0004869161675523,8.021057135573802
Hellas Verona,-0.09003722388017199,0.13370101554319366,59.0,1.0,0.9884195540096142,8.204053716326193
Inter Milan,0.3031304842004966,-0.2727197375075282,59.0,1.0,0.9757837004344534,8.0960423442235
Juventus,0.11990649102653214,-0.11087857381918641,61.0,1.0,1.0206041385514417,7.924763787382109
Lazio,0.1214741526268643,-0.08557913879545846,60.0,1.0,0.9923852990586614,8.140565179170219
Lecce,0.04342086455435579,0.18845814557377136,61.0,1.0,1.0089472220061753,9.903058078217017
Monza,-0.21147604115584567,0.044646674355019414,36.0,1.0,1.0180931768764159,6.646797962473466
Napoli,0.19285657381928026,-0.2819570195853534,62.0,1.0,0.9865387218203532,7.184056174338444
Parma,-0.016812163613495683,0.12293383765243365,59.0,1.0,1.0106353025431631,8.73280190908006
Pisa,-0.2094409077562192,0.10560454541724251,25.0,1.0,0.9868931238756721,7.078968703613351
Roma,0.06967499524493356,-0.21271543340986193,61.0,1.0,0.9820774244927333,6.8068139228005435
Sassuolo,-0.30670078553834873,0.009289906611412005,25.0,1.0,1.0009573320302154,5.8331298988845015
Torino,-0.049068337242388904,0.015653619850695986,62.0,1.0,1.0045134599569558,7.595453759085776
Udinese,0.05221638685444392,0.10800756408623885,62.0,1.0,0.9976014173265647,9.21828071768314
Venezia,-0.0768112662448741,0.18635508742854312,35.0,1.0,1.0170830658540633,8.762738035898792
