team,emp_matches,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,alpha
AFC Bournemouth,15,5.25,5.624284235917834,0.374284235917834,3.0,3.85685611907249,0.8568561190724902,5.714285714285714,4.752413387826178,-0.9618723264595364,5.714285714285714,4.564429333161377,-1.1498563811243372,0.08221523597842653,-0.12658495999998923,0.016374463269144147
Arsenal,15,5.857142857142857,6.25557159503718,0.3984287378943234,3.0,2.8714188079095027,-0.12858119209049734,6.0,5.285839219665315,-0.7141607803346854,3.5,3.398205126139182,-0.10179487386081787,0.18859406477651627,-0.42163106891254815,0.016374463269144147
Aston Villa,15,5.25,5.535940273641666,0.28594027364166585,5.0,4.526524506571044,-0.473475493428956,5.142857142857143,4.677764417140514,-0.4650927257166293,4.714285714285714,5.35695410904655,0.6426683947608351,0.06638297246883533,0.033517093254841535,0.016374463269144147
Brentford,15,4.285714285714286,5.791637792741891,1.5059235070276058,4.428571428571429,4.064740556628422,-0.3638308719430068,6.5,4.893823965704128,-1.6061760342958724,5.0,4.810451947278556,-0.18954805272144437,0.11153666027692138,-0.0740874174306536,0.016374463269144147
Brighton & Hove Albion,15,5.375,5.579092924310379,0.20409292431037862,5.25,4.101265178561821,-1.148734821438179,5.285714285714286,4.714227587591342,-0.5714866981229436,3.857142857142857,4.853677323229455,0.9965344660865978,0.07414774774432357,-0.06514182843972938,0.016374463269144147
Burnley,15,2.142857142857143,3.5548214786199357,1.411964335762793,6.285714285714286,5.7101493186451835,-0.5755649670691021,4.25,3.003756651990843,-1.2462433480091568,6.75,6.757725007647779,0.007725007647779059,-0.3765736120577948,0.2658078390157299,0.016374463269144147
Chelsea,15,7.285714285714286,6.032770842435156,-1.25294344327913,2.857142857142857,3.5291733400668472,0.67203048292399,4.25,5.097576814162827,0.847576814162827,4.75,4.176630348110081,-0.5733696518899194,0.15232795765428728,-0.2153736724496551,0.016374463269144147
Crystal Palace,15,4.0,4.081981238219438,0.08198123821943781,4.857142857142857,4.743189355928254,-0.11395350121460268,3.625,3.4491966393664217,-0.17580336063357827,5.625,5.613367976543599,-0.011632023456400908,-0.23829598891302434,0.08027243465276751,0.016374463269144147
Everton,15,5.875,4.530124787581486,-1.344875212418514,4.625,4.58515906004088,-0.03984093995912019,2.7142857142857144,3.8278694294176483,1.1135837151319339,5.571428571428571,5.426345672416276,-0.1450828990122952,-0.13412897102452376,0.04638746181459995,0.016374463269144147
Fulham,15,6.25,5.796974071428846,-0.4530259285711544,5.0,4.529031336220212,-0.47096866377978763,4.0,4.898333019871606,0.8983330198716057,5.0,5.359920838017152,0.35992083801715236,0.11245761252325866,0.034070748879459836,0.016374463269144147
Leeds United,15,4.75,4.107788207325894,-0.6422117926741064,3.125,3.0559204071915267,-0.06907959280847331,3.142857142857143,3.471003038249589,0.3281458953924461,4.0,3.6165551204813555,-0.3834448795186445,-0.23199372248270092,-0.3593565084880301,0.016374463269144147
Liverpool,15,5.571428571428571,5.745424379678622,0.17399580825005057,5.142857142857143,4.585288495373702,-0.5575686474834409,4.875,4.854774509146357,-0.020225490853643002,5.125,5.426498853767003,0.30149885376700336,0.10352532090072915,0.04641569060758919,0.016374463269144147
Manchester City,15,7.5,6.1957384673354925,-1.3042615326645075,3.5,4.050834545918987,0.5508345459189874,3.857142857142857,5.235281362843448,1.378138505700591,5.428571428571429,4.793994760069648,-0.6345766685017811,0.1789832546761911,-0.07751441407437144,0.016374463269144147
Manchester United,15,4.714285714285714,4.894604907927479,0.18031919364176474,3.7142857142857144,4.032594067223875,0.3183083529381605,4.625,4.135848210516026,-0.48915178948397386,5.25,4.772407909682577,-0.47759209031742333,-0.056744897738381,-0.08202747666892778,0.016374463269144147
Newcastle United,15,7.5,6.43061937134698,-1.06938062865302,5.875,5.290125990474212,-0.5848740095257883,4.571428571428571,5.433751266914139,0.8623226954855676,6.0,6.260644810583882,0.2606448105838819,0.21619240179137614,0.1894047276254354,0.016374463269144147
Nottingham Forest,15,7.0,5.990780246115704,-1.0092197538842962,4.142857142857143,4.5473525287058205,0.4044953858486773,4.25,5.062095557572529,0.8120955575725288,5.5,5.381603209829332,-0.11839679017066818,0.14534320469311326,0.03810786710671508,0.016374463269144147
Sunderland,15,4.0,3.8230585809966477,-0.17694141900335225,3.4285714285714284,4.2112369875548685,0.7826655589834401,3.25,3.230411910326797,-0.019588089673202802,5.875,4.9838244003543855,-0.8911755996456145,-0.30382767916523473,-0.03868090887674874,0.016374463269144147
Tottenham Hotspur,15,6.0,6.4702504943017205,0.4702504943017205,5.5,4.972900073567007,-0.5270999264329932,6.142857142857143,5.467238813311935,-0.6756183295452081,5.571428571428571,5.88522108834286,0.31379251691428856,0.22233636697119846,0.12756585105167467,0.016374463269144147
West Ham United,15,6.285714285714286,6.210688097478853,-0.07502618823543283,6.857142857142857,6.0513086629069095,-0.8058341942359473,5.0,5.247913516457349,0.24791351645734938,6.625,7.161472949016358,0.5364729490163578,0.18139323748645503,0.32383722188410013,0.016374463269144147
Wolverhampton Wanderers,15,2.625,3.161375730172068,0.5363757301720682,5.0,5.762945146178137,0.7629451461781374,3.2857142857142856,2.671302465133447,-0.6144118205808384,8.0,6.820206680912245,-1.1797933190877554,-0.4938711665599726,0.2750113194477404,0.016374463269144147
