home,away,line,p_over,p_under,fair_odds_over,fair_odds_under,mu_match,mu_league,mu_home,mu_away,gameweek
Newcastle United,Chelsea,7.5,0.7781,0.2219,1.2851818532322323,4.506534474988734,10.567535312175252,8.800894392137184,5.069490204711668,5.498045107463585,17
Newcastle United,Chelsea,8.5,0.68224,0.31776000000000004,1.4657598499061915,3.147029204431017,10.567535312175252,8.800894392137184,5.069490204711668,5.498045107463585,17
Newcastle United,Chelsea,9.5,0.5788,0.4212,1.7277125086385625,2.3741690408357075,10.567535312175252,8.800894392137184,5.069490204711668,5.498045107463585,17
Newcastle United,Chelsea,10.5,0.47428,0.52572,2.1084591380619044,1.9021532374648102,10.567535312175252,8.800894392137184,5.069490204711668,5.498045107463585,17
Newcastle United,Chelsea,11.5,0.37758,0.62242,2.64844536257217,1.6066321776292536,10.567535312175252,8.800894392137184,5.069490204711668,5.498045107463585,17
Newcastle United,Chelsea,12.5,0.28772,0.71228,3.475601279021271,1.403942269893862,10.567535312175252,8.800894392137184,5.069490204711668,5.498045107463585,17
Wolverhampton Wanderers,Brentford,7.5,0.70004,0.29996,1.428489800582824,3.333777837044939,9.606814249856512,8.800894392137184,4.459590314565198,5.147223935291315,17
Wolverhampton Wanderers,Brentford,8.5,0.58882,0.41118,1.6983118779932747,2.4320249039350164,9.606814249856512,8.800894392137184,4.459590314565198,5.147223935291315,17
Wolverhampton Wanderers,Brentford,9.5,0.47834,0.52166,2.0905631977254675,1.9169574052064562,9.606814249856512,8.800894392137184,4.459590314565198,5.147223935291315,17
Wolverhampton Wanderers,Brentford,10.5,0.37286,0.62714,2.6819717856568146,1.59454029403323,9.606814249856512,8.800894392137184,4.459590314565198,5.147223935291315,17
Wolverhampton Wanderers,Brentford,11.5,0.28162,0.71838,3.5508841701583695,1.3920209359948774,9.606814249856512,8.800894392137184,4.459590314565198,5.147223935291315,17
Wolverhampton Wanderers,Brentford,12.5,0.20354,0.79646,4.913039206052864,1.2555558345679634,9.606814249856512,8.800894392137184,4.459590314565198,5.147223935291315,17
AFC Bournemouth,Burnley,7.5,0.842,0.15800000000000003,1.187648456057007,6.329113924050632,11.609323802166653,8.800894392137184,7.771787454423402,3.8375363477432507,17
AFC Bournemouth,Burnley,8.5,0.76536,0.23463999999999996,1.3065746838089265,4.261847937265599,11.609323802166653,8.800894392137184,7.771787454423402,3.8375363477432507,17
AFC Bournemouth,Burnley,9.5,0.67514,0.32486000000000004,1.4811742749651924,3.0782490919165175,11.609323802166653,8.800894392137184,7.771787454423402,3.8375363477432507,17
AFC Bournemouth,Burnley,10.5,0.57754,0.42245999999999995,1.7314818021262595,2.36708800833215,11.609323802166653,8.800894392137184,7.771787454423402,3.8375363477432507,17
AFC Bournemouth,Burnley,11.5,0.48,0.52,2.0833333333333335,1.923076923076923,11.609323802166653,8.800894392137184,7.771787454423402,3.8375363477432507,17
AFC Bournemouth,Burnley,12.5,0.38752,0.61248,2.5805119735755575,1.6327063740856844,11.609323802166653,8.800894392137184,7.771787454423402,3.8375363477432507,17
Manchester City,West Ham United,7.5,0.79706,0.20294,1.2546106943015582,4.927564797477086,10.939995679272087,8.800894392137184,8.029510086157048,2.91048559311504,17
Manchester City,West Ham United,8.5,0.70924,0.29076,1.4099599571372174,3.439262622093823,10.939995679272087,8.800894392137184,8.029510086157048,2.91048559311504,17
Manchester City,West Ham United,9.5,0.61144,0.38856,1.6354834489074972,2.5736051060325305,10.939995679272087,8.800894392137184,8.029510086157048,2.91048559311504,17
Manchester City,West Ham United,10.5,0.51108,0.48892,1.9566408390075918,2.045324388448008,10.939995679272087,8.800894392137184,8.029510086157048,2.91048559311504,17
Manchester City,West Ham United,11.5,0.41336,0.58664,2.419198761370234,1.7046229374062456,10.939995679272087,8.800894392137184,8.029510086157048,2.91048559311504,17
Manchester City,West Ham United,12.5,0.32318,0.67682,3.0942508818615013,1.4774977098785498,10.939995679272087,8.800894392137184,8.029510086157048,2.91048559311504,17
Brighton & Hove Albion,Sunderland,7.5,0.53214,0.46786000000000005,1.8792047205622582,2.137391527379985,8.056172903651815,8.800894392137184,5.077571946094361,2.9786009575574544,17
Brighton & Hove Albion,Sunderland,8.5,0.41048,0.58952,2.4361722861040733,1.696295291084272,8.056172903651815,8.800894392137184,5.077571946094361,2.9786009575574544,17
Brighton & Hove Albion,Sunderland,9.5,0.30348,0.69652,3.2951100566758926,1.4357089530810314,8.056172903651815,8.800894392137184,5.077571946094361,2.9786009575574544,17
Brighton & Hove Albion,Sunderland,10.5,0.21602,0.78398,4.629200999907416,1.2755427434373325,8.056172903651815,8.800894392137184,5.077571946094361,2.9786009575574544,17
Brighton & Hove Albion,Sunderland,11.5,0.14596,0.85404,6.851192107426692,1.17090534401199,8.056172903651815,8.800894392137184,5.077571946094361,2.9786009575574544,17
Brighton & Hove Albion,Sunderland,12.5,0.09562,0.90438,10.458063166701526,1.1057298923019085,8.056172903651815,8.800894392137184,5.077571946094361,2.9786009575574544,17
Tottenham Hotspur,Liverpool,7.5,0.85656,0.14344,1.1674605398337536,6.971556051310652,11.906121399110717,8.800894392137184,5.45144694007859,6.454674459032127,17
Tottenham Hotspur,Liverpool,8.5,0.78426,0.21574000000000004,1.2750873434830288,4.63520904792806,11.906121399110717,8.800894392137184,5.45144694007859,6.454674459032127,17
Tottenham Hotspur,Liverpool,9.5,0.69688,0.30311999999999995,1.4349672827459532,3.2990234890472427,11.906121399110717,8.800894392137184,5.45144694007859,6.454674459032127,17
Tottenham Hotspur,Liverpool,10.5,0.60272,0.39727999999999997,1.659145208388638,2.517116391461941,11.906121399110717,8.800894392137184,5.45144694007859,6.454674459032127,17
Tottenham Hotspur,Liverpool,11.5,0.50806,0.49194000000000004,1.9682714640003152,2.032768223767126,11.906121399110717,8.800894392137184,5.45144694007859,6.454674459032127,17
Tottenham Hotspur,Liverpool,12.5,0.4142,0.5858,2.4142926122646062,1.7070672584499829,11.906121399110717,8.800894392137184,5.45144694007859,6.454674459032127,17
Leeds United,Crystal Palace,7.5,0.40208,0.59792,2.4870672502984483,1.6724645437516725,7.00269632875379,8.800894392137184,4.535610095284902,2.467086233468888,17
Leeds United,Crystal Palace,8.5,0.28796,0.71204,3.4727045422975413,1.4044154822762767,7.00269632875379,8.800894392137184,4.535610095284902,2.467086233468888,17
Leeds United,Crystal Palace,9.5,0.1951,0.8049,5.125576627370579,1.2423903590508139,7.00269632875379,8.800894392137184,4.535610095284902,2.467086233468888,17
Leeds United,Crystal Palace,10.5,0.12586,0.87414,7.945336087716511,1.1439815132587456,7.00269632875379,8.800894392137184,4.535610095284902,2.467086233468888,17
Leeds United,Crystal Palace,11.5,0.07782,0.92218,12.850167052171678,1.0843869960311436,7.00269632875379,8.800894392137184,4.535610095284902,2.467086233468888,17
Leeds United,Crystal Palace,12.5,0.04604,0.95396,21.720243266724587,1.04826198163445,7.00269632875379,8.800894392137184,4.535610095284902,2.467086233468888,17
Everton,Arsenal,7.5,0.688,0.31200000000000006,1.4534883720930234,3.2051282051282044,9.512379851372287,8.800894392137184,2.895397220366295,6.6169826310059925,17
Everton,Arsenal,8.5,0.57704,0.42296,1.7329821156245668,2.364289767353887,9.512379851372287,8.800894392137184,2.895397220366295,6.6169826310059925,17
Everton,Arsenal,9.5,0.46484,0.5351600000000001,2.1512778590482746,1.8686000448464009,9.512379851372287,8.800894392137184,2.895397220366295,6.6169826310059925,17
Everton,Arsenal,10.5,0.36156,0.63844,2.7657926761809937,1.56631789988096,9.512379851372287,8.800894392137184,2.895397220366295,6.6169826310059925,17
Everton,Arsenal,11.5,0.27106,0.7289399999999999,3.689220098871098,1.371855022361237,9.512379851372287,8.800894392137184,2.895397220366295,6.6169826310059925,17
Everton,Arsenal,12.5,0.1974,0.8026,5.065856129685917,1.24595066035385,9.512379851372287,8.800894392137184,2.895397220366295,6.6169826310059925,17
Aston Villa,Manchester United,7.5,0.78456,0.21543999999999996,1.2745997756704395,4.641663572224286,10.655739856910788,8.800894392137184,6.439954857827152,4.2157849990836365,17
Aston Villa,Manchester United,8.5,0.68816,0.31184,1.4531504301325273,3.206772703950744,10.655739856910788,8.800894392137184,6.439954857827152,4.2157849990836365,17
Aston Villa,Manchester United,9.5,0.5875,0.4125,1.702127659574468,2.4242424242424243,10.655739856910788,8.800894392137184,6.439954857827152,4.2157849990836365,17
Aston Villa,Manchester United,10.5,0.48344,0.51656,2.068509018699322,1.9358835372463992,10.655739856910788,8.800894392137184,6.439954857827152,4.2157849990836365,17
Aston Villa,Manchester United,11.5,0.3863,0.6137,2.588661661920787,1.629460648525338,10.655739856910788,8.800894392137184,6.439954857827152,4.2157849990836365,17
Aston Villa,Manchester United,12.5,0.2973,0.7027,3.3636057854019508,1.4230823964707557,10.655739856910788,8.800894392137184,6.439954857827152,4.2157849990836365,17
Fulham,Nottingham Forest,7.5,0.77,0.22999999999999998,1.2987012987012987,4.347826086956522,10.4604346893985,8.800894392137184,6.642447325409163,3.817987363989338,17
Fulham,Nottingham Forest,8.5,0.67286,0.32714,1.486193264572125,3.056795255853763,10.4604346893985,8.800894392137184,6.642447325409163,3.817987363989338,17
Fulham,Nottingham Forest,9.5,0.56942,0.43057999999999996,1.7561729479119101,2.322448790004181,10.4604346893985,8.800894392137184,6.642447325409163,3.817987363989338,17
Fulham,Nottingham Forest,10.5,0.46486,0.53514,2.151185303102009,1.8686698807788618,10.4604346893985,8.800894392137184,6.642447325409163,3.817987363989338,17
Fulham,Nottingham Forest,11.5,0.36598,0.63402,2.732389748073665,1.577237311125832,10.4604346893985,8.800894392137184,6.642447325409163,3.817987363989338,17
Fulham,Nottingham Forest,12.5,0.27852,0.72148,3.59040643400833,1.386039807063259,10.4604346893985,8.800894392137184,6.642447325409163,3.817987363989338,17
