team,mu_home_for,mu_away_for,mu_home_against,mu_away_against,attack_A,defense_D,alpha
Manchester City,7.031784775066767,5.925740558823572,3.080208466763281,3.655131841431443,0.29759949681190867,-0.35670889252073984,0.07708955703295352
Arsenal,6.945586025260333,5.853100191664009,2.6596461323957707,3.1560712108797904,0.2852652969344669,-0.5035130902197943,0.07708955703295352
Liverpool,6.909591906336847,5.8227676634074115,3.5614934255787385,4.226249022865902,0.2800695210193275,-0.21152621276499714,0.07708955703295352
Tottenham Hotspur,6.735602606956205,5.676145506853797,4.877998877283407,5.788481270412551,0.2545662231963742,0.10302889840468311,0.07708955703295352
AFC Bournemouth,6.3636503892161285,5.36269843571732,4.277938713413002,5.076419396872534,0.19776111666924664,-0.02823488666263515,0.07708955703295352
Newcastle United,6.161705771905907,5.192518111985792,4.665900641266515,5.536794728952121,0.16551259363734291,0.05857470794349419,0.07708955703295352
Chelsea,6.1530800123917775,5.185249116326999,3.6204299235665145,4.296186065355739,0.16411171487650075,-0.19511338902778796,0.07708955703295352
Aston Villa,6.137768370387761,5.172345874696637,3.897805992563472,4.625334599548045,0.16162016190177161,-0.12129234240321068,0.07708955703295352
Fulham,5.730133687034405,4.82882890800915,4.123212150514807,4.892812997219097,0.0928978049260693,-0.06507366345294203,0.07708955703295352
Luton Town,5.723681421282263,4.823391532707315,5.065851219641316,6.011396402764417,0.09177114688704163,0.14081601150966633,0.07708955703295352
Manchester United,5.647782788297582,4.759431155331811,4.617098526177108,5.478883660036732,0.07842198468980699,0.048060311936763495,0.07708955703295352
Brighton & Hove Albion,5.498003320892164,4.633210815364871,3.952548007372991,4.690294255218571,0.05154393716209939,-0.10734573512416559,0.07708955703295352
Brentford,5.313414607866827,4.477656449231004,4.902976609009419,5.818121115748868,0.01739362431427225,0.108136320677221,0.07708955703295352
West Ham United,4.934067584081254,4.1579777166443925,5.024817492952741,5.96270369816004,-0.05667734096073762,0.1326829622453439,0.07708955703295352
Nottingham Forest,4.835245796499145,4.074699815869168,5.1010570266917705,6.053173401867542,-0.07690909206775777,0.14774160716069124,0.07708955703295352
Everton,4.790502926187669,4.036994645730426,4.9747452993397125,5.903285489548457,-0.0862056556590179,0.1226680019575541,0.07708955703295352
Burnley,4.6842244199820975,3.9474329092867,5.374170204292318,6.3772633725737355,-0.10864069997409595,0.19989801026922183,0.07708955703295352
Crystal Palace,4.6682189352580075,3.933944960916968,4.586030370726988,5.442016608515506,-0.11206344197673855,0.04130863567131852,0.07708955703295352
Southampton,4.358837008145281,3.673226367799693,5.425842086507037,6.4385798529443585,-0.18063577607090484,0.20946693947008432,0.07708955703295352
Leeds United,4.352067281031318,3.6675214653013084,2.7596427520930766,3.274732279646738,-0.1821900873690512,-0.4666049375259683,0.07708955703295352
Ipswich Town,4.139870135826221,3.488701255350204,5.582141494473297,6.624052670456181,-0.232176637411676,0.23786631191011237,0.07708955703295352
Sheffield United,4.013867667300803,3.3825179801025818,5.889099717447541,6.988304891333087,-0.2630857745558362,0.29139696542124116,0.07708955703295352
Wolverhampton Wanderers,4.002505673651966,3.3729431383308683,5.058469176990959,6.002636495947304,-0.26592047318422507,0.13935773210534774,0.07708955703295352
Sunderland,3.9350922830202184,3.3161333416927774,4.063945750655125,4.822484476409022,-0.28290672315703635,-0.07955180979885103,0.07708955703295352
Leicester City,3.9028932456725847,3.2889989586493003,5.132884151909824,6.090941085471106,-0.2911229206391513,0.15396154281834873,0.07708955703295352
