team,emp_home_for,mu_home_for,diff_home_for,emp_home_against,mu_home_against,diff_home_against,emp_away_for,mu_away_for,diff_away_for,emp_away_against,mu_away_against,diff_away_against,attack_A,defense_D,beta0,home_adv,alpha,matches,matches_w,low_sample_flag,promoted_flag
Arsenal,6.442968884905328,6.622909863340997,0.1799409784356687,2.5978527318114506,2.7720521285053423,0.17419939669389173,6.269732220808287,5.903743777616039,-0.365988443192248,3.5207585294816117,3.1097303804378367,-0.41102814904377505,0.2784493456446872,-0.47754945608354943,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.57307760831818,0,0
Aston Villa,6.56834094467591,5.825815148512681,-0.7425257961632292,3.9437804171358484,4.152315272403667,0.208534855267819,4.562725992803452,5.193203688751778,0.6304776959483256,5.385702927503291,4.658130638658663,-0.7275722888446285,0.15021344519641538,-0.07347126697080301,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.714165043214635,0,0
Bournemouth,5.837507957555025,6.244445398538156,0.406937440983131,4.608906269278086,4.554751368980279,-0.05415490029780745,5.883482481772675,5.566375872083136,-0.31710660968953874,5.527061724519006,5.109589593142279,-0.41747213137672734,0.21960684823068485,0.01903360241313148,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.71416504321464,0,0
Brentford,4.534460352384773,5.061040019915907,0.5265796675311343,5.085051065880691,5.071301406652501,-0.013749659228190048,4.915054672551884,4.511473678847786,-0.4035809937040984,6.307568669514615,5.689063308173653,-0.6185053613409623,0.00948651558867986,0.126460129755608,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.79170843109434,0,0
Brighton & Hove Albion,4.994707620329769,5.158404881769999,0.16369726144023033,4.553912231272832,4.196681030208037,-0.35723120106479556,4.857432338055778,4.598265921108435,-0.2591664169473429,4.770929434677858,4.7079008228037145,-0.06302861187414344,0.028541916139038278,-0.06284336062204855,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.49155621438102,0,0
Chelsea,6.846325134772936,6.179660797456204,-0.6666643373167318,3.8491265682369753,3.703662651596108,-0.1454639166408671,5.1429833846865245,5.508626077292789,0.36564269260626414,4.282352349771921,4.1548252820091855,-0.1275270677627356,0.20917789869669845,-0.18781510675821217,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.629095776220424,0,0
Crystal Palace,4.166501907409091,4.533530577785738,0.367028670376647,5.050545686077748,4.613059652769871,-0.43748603330787716,4.322944232897508,4.041245236838058,-0.2816989960594505,5.310564733664382,5.175000715706361,-0.1355640179580213,-0.10058447119048759,0.03175399332863168,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.60676590933471,0,0
Everton,4.529551125594961,4.369109477948885,-0.16044164764607594,5.0339374138666635,5.031133833104819,-0.00280358076184406,3.7108369909595114,3.8946782345535174,0.183841243594006,6.219459927011505,5.644002711193809,-0.5754572158176963,-0.13752627657189398,0.11850803023435076,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.629095776220424,0,0
Fulham,5.049939144452346,5.218892750673641,0.16895360622129463,5.109239065592162,4.591646347130799,-0.5175927184613629,4.749163077902862,4.652185555684435,-0.09697752221842748,5.045872802540559,5.1509789426644055,0.10510614012384689,0.040199778541887055,0.027101298442314962,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.79170843109435,0,0
Wolverhampton Wanderers,3.6598186096208702,4.015474192547722,0.35565558292685173,5.2814296784531995,5.040655331633144,-0.24077434682005538,3.88986325963289,3.5794433666763648,-0.31041989295652517,6.244688242752993,5.654684073544954,-0.5900041692080391,-0.2219300384564155,0.12039875713680676,1.497137342611495,0.11494814151204248,0.029999999999999995,101.0,37.69950943509997,0,0
