team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
Augsburg,-0.07115271989021456,-0.030644501890960237,56.0,1.0,0.9994478682433969,8.153672381251752
Bayer Leverkusen,0.18217907159229355,-0.26477986746532367,55.0,1.0,0.9989306234221521,8.311705733822041
Bayern Munchen,0.2595938335772707,-0.55,56.0,1.0,1.0030794946278836,6.75213992149117
Borussia Dortmund,0.127794192901282,-0.19974544048021045,56.0,1.0,1.0008783638374341,8.400694650283311
Borussia Monchengladbach,-0.044222340930583255,-0.011351343749916776,56.0,1.0,0.9981011080497864,8.539410367433735
Eintracht Frankfurt,-0.020658152964429497,-0.10971147765013946,56.0,1.0,1.0001746642195672,7.923999104750159
Freiburg,-0.1698757368485923,-0.19691862618114153,56.0,1.0,0.9968286051108222,6.2555638481267515
Hamburger SV,-0.05566905497947588,0.020811762349704818,55.0,1.0,0.9987815705294593,8.718161284712966
Heidenheim,-0.0864896901331389,-0.039089002022849165,56.0,1.0,0.998835735402607,7.962053582348026
Hoffenheim,0.01542022673782545,0.07678888450133824,56.0,1.0,0.9998012661285367,9.899406023461818
Koln,-0.22279933194972967,0.1822453069814666,56.0,1.0,1.0017564585494347,8.668637449339421
Mainz 05,0.019009338833406723,-0.07110617189728517,56.0,1.0,0.9990397973554385,8.569152304364222
RB Leipzig,0.031595136999473174,-0.005523173842056784,56.0,1.0,1.000333529070011,9.26586863346056
St Pauli,-0.04748159376318781,-0.09967371540135382,56.0,1.0,0.9999176177369392,7.792099512006834
Stuttgart,0.09871432911174119,-0.1118758497637389,56.0,1.0,0.9992750960216209,8.909375291340433
Union Berlin,0.007397821916531691,-0.10671865042493286,56.0,1.0,0.9984657626604171,8.173889102629868
Werder Bremen,-0.013797225762623478,-0.05259064479656767,56.0,1.0,0.9998539206165414,8.447561128914693
Wolfsburg,-0.07554011120335274,0.17512712895273208,56.0,1.0,0.9998715700637117,9.97271300912359
