team,attack,defense,matches_w,tempo,emp_against_factor,against_emp_away,against_emp_home,for_emp_away,for_emp_home,mu_against_pred_away,mu_against_pred_home,mu_for_pred_away,mu_for_pred_home,mu_for_avg,mu_against_avg,total_emp_mean,total_emp_var,n_obs,mu_total_team_avg,mu_total_vs_avg
Augsburg,-0.05097335665198513,-0.036453416219429574,57.0,1.0,1.0000672964460904,5.142857142857143,4.793103448275862,3.4642857142857144,5.586206896551724,5.527419666308639,4.420833998847027,4.038111432001147,5.018920905576073,4.537119760662074,4.964419940757994,9.508771929824562,14.147243107769425,57,9.501539701420068,8.299501003185902
Bayer Leverkusen,0.18542273953207764,-0.2704910794413766,56.0,1.0,1.000008438905585,4.678571428571429,3.107142857142857,4.714285714285714,6.964285714285714,4.387153442070126,3.398463463766688,5.135419627861601,6.52924187986487,5.832330753863235,3.892808452918407,9.732142857142858,11.617857142857144,56,9.725139206781641,8.319097919844525
Bayern Munchen,0.2658161481767581,-0.55,57.0,1.0,0.9992503230950004,2.9642857142857144,2.8620689655172415,6.071428571428571,6.758620689655173,3.2528138854669004,2.589820989243928,5.702964543999626,7.119949365186189,6.423886646006825,2.9155017101955636,9.333333333333334,8.476190476190476,57,9.339388356202388,6.817128307814083
Borussia Dortmund,0.12028133968991182,-0.19831911544208322,57.0,1.0,1.001661684131481,5.137931034482759,3.25,4.310344827586207,6.714285714285714,4.714045522519523,3.6680858599051525,4.736517966246487,6.237719861915478,5.473950476399676,4.200240775972113,9.701754385964913,8.855889724310778,57,9.674191252371788,8.377791955827623
Borussia Monchengladbach,-0.045685918851940725,-0.020090073165712555,57.0,1.0,0.9985886304436201,5.344827586206897,4.785714285714286,4.517241379310345,4.535714285714286,5.67440670776927,4.465876898979797,3.985386833966829,5.116850359872138,4.541193478271191,5.080742942048126,9.596491228070175,11.173558897243108,57,9.621936420319317,8.481151017180215
Eintracht Frankfurt,-0.021010971803540814,-0.10851389069518473,57.0,1.0,1.0010506507043693,5.275862068965517,4.071428571428571,4.137931034482759,5.214285714285714,5.1936534823158835,4.141831596555547,4.129309814654745,5.217076198357742,4.663651196122884,4.676969047205543,9.350877192982455,10.553258145363406,57,9.340620243328427,7.957360133013738
Freiburg,-0.1764282990038478,-0.20362751231958928,57.0,1.0,0.997947453066939,4.517241379310345,3.9285714285714284,3.6551724137931036,4.5,4.760961855880721,3.702260576249839,3.589178228267793,4.579052924578767,4.075432465052131,4.240898069395376,8.298245614035087,9.14160401002506,57,8.316330534447507,6.19390878097806
Hamburger SV,-0.06235071246963694,0.02161390678887859,56.0,1.0,0.9991107197120007,5.392857142857143,5.142857142857143,3.9285714285714284,5.0,5.857529993940912,4.692089116251176,3.96122442016032,4.970250152280402,4.465737286220361,5.274809555096043,9.732142857142858,9.508766233766234,56,9.740546841316405,8.696193142643489
Heidenheim,-0.09243092906358114,-0.04497005158559348,57.0,1.0,0.999320958517295,5.571428571428571,4.344827586206897,3.75,5.0344827586206895,5.582644774472092,4.343738770108089,3.876546001479451,4.906615611710338,4.400616504930253,4.952324175760582,9.350877192982455,10.80325814536341,57,9.352940680690836,7.894933188149
Hoffenheim,0.03187863815946241,0.06894068681508715,57.0,1.0,1.0002392734408239,6.241379310344827,4.821428571428571,4.620689655172414,5.107142857142857,6.216198550009324,4.843530552240462,4.2834796764114484,5.469477752367245,4.866075222494998,5.541905498473742,10.403508771929825,9.887844611528822,57,10.407980720968741,10.01858121922155
