team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
AFC Bournemouth,0.17162916825313324,-0.07065174394798475,63.0,1.0,0.9880019259542951,11.273335329649244
Arsenal,0.22951503271241336,-0.55,61.0,1.0,0.9978898013814687,7.396284949463078
Aston Villa,0.11560682048516299,-0.17079625721189987,63.0,1.0,0.9931743725809782,9.643396406084406
Brentford,-0.032957965103850226,0.0561983441680479,64.0,1.0,0.9993667362805432,10.430176452391171
Brighton,0.005725525271099681,-0.16506190132693646,61.0,1.0,1.0144064476911316,8.689595857024766
Burnley,-0.30160286031085454,0.11176988389967243,62.0,1.0,0.9997212263920645,8.428592806140957
Chelsea,0.1698908940014818,-0.32080408363846646,62.0,1.0,0.9994200513832062,8.76309907389433
Crystal Palace,-0.11644782918454588,-0.05002432654949693,62.0,1.0,1.0131702843435964,8.627809524500837
Everton,-0.1738839768866118,0.021372160134657443,62.0,1.0,1.0041068454314268,8.749101337665039
Fulham,0.012936772219555135,-0.11875169153805126,64.0,1.0,0.9977961580962584,9.167346604240898
Leeds United,-0.22166125658056354,-0.04143886746228792,63.0,1.0,1.0013910156125134,7.833133985803318
Liverpool,0.2362940243551504,-0.3185748248822999,63.0,1.0,1.0062147362710916,9.385650750441918
Luton Town,0.0,0.0,0.0,1.0,1.0,10.19057025187672
Man City,0.20212407553978343,-0.4478234125076976,64.0,1.0,1.000714469939422,7.9706294780039055
Man United,-0.0038136676760737527,-0.12457782900107262,62.0,1.0,0.9984815057523749,8.962698118048698
Newcastle,0.23059228601018691,-0.027060266911574784,62.0,1.0,0.9958860771151383,12.49083064436059
Nott'm Forest,-0.025674937264492097,0.05206338261114634,62.0,1.0,0.993470808554005,10.463063076677802
Sheffield United,0.0,0.0,0.0,1.0,1.0,10.19057025187672
Sunderland,-0.26260633043027154,0.04023858710873957,62.0,1.0,0.9995852332387859,8.15878339620922
Tottenham,0.155114079602839,-0.013119054364301566,62.0,1.0,0.9926284812312857,11.745354877104827
West Ham United,-0.13576951552775676,0.03683587543034097,61.0,1.0,1.0082592154783954,9.230647220765636
Wolves,-0.27939182320139677,0.055695432743089204,63.0,1.0,0.9960811114980054,8.147950450185252
