team,attack,defense,matches_w,tempo,emp_against_factor,against_emp_away,against_emp_home,for_emp_away,for_emp_home,mu_against_pred_away,mu_against_pred_home,mu_for_pred_away,mu_for_pred_home,mu_for_avg,mu_against_avg,total_emp_mean,total_emp_var,n_obs,mu_total_team_avg,mu_total_vs_avg
Afc Bournemouth,0.16985383975329274,-0.041006139202457076,64.0,1.0,0.9883646930413147,5.454545454545454,4.806451612903226,5.757575757575758,5.903225806451613,5.409455669608086,4.873658724141099,5.489654492603295,6.2161177371382506,5.841535126674914,5.1499290241475135,10.96875,11.52281746031746,64,10.991464150822427,11.338646677912836
Arsenal,0.21714907099894898,-0.55,63.0,1.0,0.9978882945088043,3.5161290322580645,2.59375,5.806451612903226,6.78125,3.2294266927894264,2.8629947149015527,5.950489466668489,6.64259832123464,6.302036821368755,3.043302513544792,9.34920634920635,15.843830005120328,63,9.345339334913547,7.145753906379202
Aston Villa,0.11813822244574436,-0.15903049985594736,64.0,1.0,0.9934631648990482,5.3125,3.875,4.5,6.6875,4.908199379364628,4.2757917616955154,5.224821923354415,5.9471685673824375,5.585995245368426,4.591995570530072,10.1875,10.313492063492063,64,10.177990815898497,9.568504968702037
Brentford,-0.028470726279906808,0.0696898172501266,65.0,1.0,0.9993222187288083,6.59375,5.090909090909091,4.71875,4.757575757575758,6.134461754341885,5.547067779501043,4.498975911413251,4.997478577986873,4.752061880596782,5.836246351730381,10.569230769230769,9.592788461538463,65,10.588308232327162,10.387346067154622
Brighton,0.001661197096025537,-0.14386265167267276,62.0,1.0,1.0136441700008776,4.838709677419355,4.516129032258065,5.032258064516129,4.903225806451613,5.006012913279705,4.357525487772361,4.566496497407529,5.365964224340211,4.966230360873871,4.681769200526032,9.64516129032258,9.216287678476995,62,9.647999561399903,8.646613967626685
Burnley,-0.2903714935189052,0.1320602808378455,63.0,1.0,1.0000224999625915,6.909090909090909,5.666666666666667,3.5757575757575757,3.7333333333333334,6.67119283731711,5.8902815209484185,3.437241916686363,3.881902652779113,3.648985124349577,6.299330305712972,9.968253968253968,13.418330773169483,63,9.948315430062548,8.508435110552035
Chelsea,0.17387533031065958,-0.2947242085200773,63.0,1.0,0.9992730204698045,4.193548387096774,3.65625,5.290322580645161,6.78125,4.224697203453006,3.638134262915633,5.660183282256081,6.412754786809868,6.0424418242516555,3.9267604717514835,9.968253968253968,8.450588837685613,63,9.96920229600314,8.833226693750927
Crystal Palace,-0.11042455554920941,-0.03510525497857322,63.0,1.0,1.0131617555388228,5.133333333333334,5.181818181818182,4.433333333333334,4.484848484848484,5.427427520613774,4.922958739210813,4.204440573288833,4.698674176622183,4.4633248417015405,5.163181968450318,9.619047619047619,10.336405529953916,63,9.62650681015186,8.61788279887216
Everton,-0.15290957022909116,0.02803181992557793,63.0,1.0,1.0040633603806666,6.290322580645161,4.90625,3.6451612903225805,4.78125,5.9068518321334,5.277366946196499,3.932246554103103,4.505348103552737,4.223345753823551,5.587113477371799,9.80952380952381,10.414746543778804,63,9.81045923119535,8.79771034667467
Fulham,0.008966973264508661,-0.09554900907173972,65.0,1.0,0.9977517085197418,4.96969696969697,4.75,4.848484848484849,5.09375,5.184077346866567,4.559757294754068,4.711507498947621,5.236566152018003,4.969997912766886,4.876719782749643,9.830769230769231,9.955288461538462,65,9.84671769551653,9.141159288579379
Leeds United,-0.22674670303940012,-0.02183600166233437,64.0,1.0,1.0009725625793637,5.625,5.21875,3.1875,4.59375,5.714305207785746,5.11073340722172,3.6338602754164553,4.13612434605675,3.8849923107366027,5.412519307503733,9.3125,11.488095238095237,64,9.297511618240335,7.77401331627707
Liverpool,0.22528070116906812,-0.290645635252244,64.0,1.0,1.0058007656477468,3.625,4.34375,6.28125,6.21875,4.244827966062855,3.724414892547813,5.859432332658062,6.6269187872081154,6.243175559933088,3.9846214293053337,10.234375,11.769593253968255,64,10.227796989238422,9.337180340948843
Man City,0.1980361565026106,-0.42643670986069293,65.0,1.0,1.0006309562073092,4.0,3.0,5.40625,6.848484848484849,3.7382368886756865,3.247826614404803,5.70510394389956,6.546572065913719,6.13231083661444,3.489259364815084,9.63076923076923,10.23653846153846,65,9.621570201429524,7.932503587249932
Man United,-0.016261755006510482,-0.08896772726340088,63.0,1.0,0.9976981509461351,5.8125,4.064516129032258,4.59375,5.096774193548387,5.234329032164642,4.650793935792638,4.5477299036734635,5.135904716444972,4.837149255989603,4.9471927149022275,9.793650793650794,9.10189452124936,63,9.78434197089183,8.972279492266322
Newcastle,0.23270518479261074,-0.01524562197972271,63.0,1.0,0.9960815645273293,5.125,5.32258064516129,5.71875,6.774193548387097,5.513486389592607,4.9307223362857995,5.892411628469261,6.619685883099896,6.250276737890684,5.226729474473384,11.46031746031746,15.220174091141834,63,11.477006212364067,12.389245685403832
Nott'm Forest,-0.015841657754826998,0.05616677922859171,63.0,1.0,0.9937176584336065,6.064516129032258,5.21875,4.483870967741935,5.1875,6.02514384410537,5.278178961593959,4.588472164741048,5.083994122055773,4.840165857345353,5.645733110131321,10.476190476190476,6.8663594470046085,63,10.485898967476674,10.378064246072078
Sunderland,-0.2535197779783565,0.053883760632088044,63.0,1.0,0.9996346404717457,5.40625,6.096774193548387,4.25,3.3225806451612905,6.149979440378713,5.32332690103541,3.538471073778984,4.068671047766763,3.799363124471383,5.743213905146294,9.53968253968254,12.155657962109576,63,9.542577029617677,8.163991736086542
Tottenham,0.1495042864107397,-0.0004603752379812036,63.0,1.0,0.9929346185412171,5.064516129032258,5.6875,5.193548387096774,6.25,5.708644258349897,5.057368276893442,5.381747006593094,6.06054789247705,5.726534758153199,5.377837410625983,11.11111111111111,17.455197132616487,63,11.104372168779182,11.569972463689973
