team,attack,defense,matches_w,tempo,emp_against_factor,against_emp_away,against_emp_home,for_emp_away,for_emp_home,mu_against_pred_away,mu_against_pred_home,mu_for_pred_away,mu_for_pred_home,mu_for_avg,mu_against_avg,total_emp_mean,total_emp_var,n_obs,mu_total_team_avg,mu_total_vs_avg
Angers Sco,-0.25412066893860086,0.05253543557894689,57.0,1.0,0.9915350139186216,4.857142857142857,4.931034482758621,3.357142857142857,4.0,5.343079090411855,4.593652478850933,3.369445393533749,3.913446923625708,3.646218101826149,4.961791866986124,8.578947368421053,9.355263157894738,57,8.608009968812272,7.061059148305112
Auxerre,-0.02385304708701906,0.15098734714903045,56.0,1.0,0.9926143497707803,5.142857142857143,5.642857142857143,4.285714285714286,4.392857142857143,5.769362819661753,5.121063690728905,4.2809378601543004,4.8062863374332006,4.5436120987937505,5.445213255195329,9.732142857142858,14.017857142857144,56,9.988825353989078,9.809139907735862
Brest,-0.05643103115728125,0.06432984057866974,55.0,1.0,1.0087340978877986,5.7407407407407405,4.25,3.7777777777777777,4.714285714285714,5.411810456429878,4.683578641532629,4.074818101232731,4.742417439240957,4.414686855127828,5.0410742597549145,9.236363636363636,12.035690235690238,55,9.455761114882742,8.706580369230144
Le Havre,-0.06554885044655412,0.09738782485963432,54.0,1.0,1.0077674974563826,5.6923076923076925,4.464285714285714,4.038461538461538,4.357142857142857,5.577054563510169,4.780586089837108,3.9951958343374514,4.738050955437855,4.380379971204327,5.164070910494508,9.25925925925926,10.761705101327742,54,9.544450881698836,8.917532377551373
Lens,0.1318913886781364,-0.1512137427928133,54.0,1.0,0.9839712244032368,4.32,3.4827586206896552,4.4,6.448275862068965,4.202781564802209,3.7323565913011776,5.018524088306772,5.811822377288369,5.444554650908,3.950145930884988,9.37037037037037,11.14325646401118,54,9.394700581792987,8.472773801780008
Lille,0.16565538582746686,-0.09959794438438438,55.0,1.0,0.9758360180168145,4.0344827586206895,3.8461538461538463,5.344827586206897,5.846153846153846,4.44348687359787,3.8631230457659984,5.271816630699922,5.841315506744163,5.5410342811935624,4.169133064077348,9.527272727272727,12.846464646464646,55,9.71016734527091,9.227957512085677
Lorient,-0.12634094321056602,0.11995844851104513,56.0,1.0,0.9897784114465473,5.785714285714286,4.714285714285714,3.75,4.357142857142857,5.605024442633817,4.95424554462449,3.863768187560988,4.42123215484334,4.142500171202164,5.279634993629153,9.303571428571429,10.978896103896105,56,9.422135164831317,8.583122713603766
Metz,-0.17788769945569996,0.14713400854294123,56.0,1.0,0.9954460884679991,5.9655172413793105,4.962962962962963,3.9655172413793105,3.6296296296296298,5.792777702899817,5.168541978907678,3.6582304511304646,4.102303888875302,3.872337287186011,5.491806907403607,9.285714285714286,11.007792207792209,56,9.364144194589617,8.376470159232277
Monaco,0.06872613556926195,-0.1655384590156663,57.0,1.0,0.9856223768591714,3.8214285714285716,3.8620689655172415,5.5,4.862068965517241,4.20224654461017,3.6717953145964595,4.75997328468503,5.496206185516449,5.134547918441366,3.9323678486382825,9.017543859649123,10.088972431077693,57,9.06691576707965,7.841012497967883
Nantes,-0.19882923431276878,0.2480777271830623,57.0,1.0,1.008087100055372,6.428571428571429,5.793103448275862,3.392857142857143,4.241379310344827,6.374165641123059,5.692676187724924,3.5716215442180124,4.099670727946551,3.840278146465865,6.027442936762605,9.929824561403509,11.81641604010025,57,9.86772108322847,9.074141612196554
Nice,0.08218911599682655,0.17535351409201455,57.0,1.0,0.996428923480017,5.5,5.482758620689655,4.428571428571429,5.551724137931035,5.968370551169157,5.092425163068593,4.709276202681221,5.472090811782452,5.097374863452022,5.522714125644308,10.491228070175438,12.254385964912279,57,10.620088989096331,11.17548929924033
