team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
Alaves,0.0517352010578602,-0.026144459029641267,62.0,1.0,0.9900041757136828,8.469338413992523
Athletic Club Bilbao,0.09251382546350032,-0.14667300962168303,62.0,1.0,0.9963140496929103,7.820140100791314
Atletico Madrid,0.1654000902545366,-0.2477581847560333,62.0,1.0,1.017530128196268,7.602700854516684
Barcelona,0.3892552846883644,-0.12686689079849733,62.0,1.0,0.990602319844939,10.732215882614721
Ca Osasuna,-0.145756702070608,0.027716239160570946,62.0,1.0,0.9984185747431796,7.336201422863705
Celta Vigo,-0.18102345194344066,-0.10798280757871491,62.0,1.0,1.0018992126398654,6.183320313408997
Elche CF,-0.15809533819232213,0.03631337011860632,62.0,1.0,1.0009665759293118,7.308804272608582
Getafe,-0.1314741329137149,-0.20995883623556189,62.0,1.0,1.018677784683526,5.8675002133705485
Girona FC,-0.028365402904742338,-0.010290570804277015,61.0,1.0,0.9969866849813702,7.942322037466677
Levante UD,-0.55,0.2322664188002631,62.0,1.0,1.0192009368648591,6.008217244769744
Mallorca,-0.2252716659118364,0.2621916136039732,62.0,1.0,1.0170726661183755,8.565834872720272
RCD Espanyol,-0.13238712642468234,0.1212048631779613,62.0,1.0,1.0021427831933272,8.163552184739132
Rayo Vallecano,0.17940620289530332,0.09155486387457863,61.0,1.0,0.9870238055860061,10.824615147115189
Real Betis,0.07085272359974132,0.01008665494336666,62.0,1.0,0.9910792148455414,8.951320226960297
Real Madrid,0.2716217282534595,-0.1566670528805942,62.0,1.0,1.0014772702785752,9.261039780172553
Real Oviedo,-0.1329536716479155,0.09031643049100596,60.0,1.0,1.0028373676539621,7.910764390677867
Real Sociedad,0.20489329351682606,-0.0067532710551039925,62.0,1.0,0.9883620859058972,10.064372141000629
Sevilla,0.06244943712249363,-0.023174859098797934,62.0,1.0,0.9909574938147748,8.586028011685745
Valencia,0.06942699272905735,0.06007048976993949,62.0,1.0,0.9909385305185284,9.396705383815348
Villarreal,-0.0170861616702194,-0.017007308024236025,62.0,1.0,0.9911125486829727,7.978641704958112
