team,attack,defense,matches_w,tempo,emp_against_factor,against_emp_away,against_emp_home,for_emp_away,for_emp_home,mu_against_pred_away,mu_against_pred_home,mu_for_pred_away,mu_for_pred_home,mu_for_avg,mu_against_avg,total_emp_mean,total_emp_var,n_obs,mu_total_team_avg,mu_total_vs_avg
Alaves,0.032145373639110575,-0.027617015338569303,63.0,1.0,0.9975822809789572,4.580645161290323,4.625,3.935483870967742,5.8125,5.21075566197741,4.047040490287917,4.286342483305274,5.442049444137745,4.873368241188434,4.619662241436715,9.492063492063492,11.124935995903739,63,9.493030482625148,8.359148996048198
Athletic Club Bilbao,0.08052934654271779,-0.1597390011408895,63.0,1.0,0.9995809927020456,4.419354838709677,3.59375,5.0,5.4375,4.470253208121341,3.54931617919421,4.6178819428889435,5.810702963028309,5.223759286451796,4.002475669618671,9.222222222222221,7.046594982078854,63,9.226234956070467,7.687676669641784
Atletico Madrid,0.1692355829891606,-0.2187449220182027,63.0,1.0,0.9989393191420308,4.032258064516129,3.5,4.645161290322581,6.8125,4.250449373670874,3.300241816792667,5.0078564033042285,6.445203986690175,5.737937715500265,3.767804265415277,9.507936507936508,11.221710189452123,63,9.505741980915541,7.919427594989
Barcelona,0.4130062349044538,-0.1272657316364548,63.0,1.0,1.0027579817202656,5.03125,3.096774193548387,6.09375,8.483870967741936,4.545075112066424,3.5650165587562785,6.445972471892986,8.078701660107894,7.249378897840005,4.06282407789794,11.34920634920635,9.295442908346136,63,11.312202975737945,11.073653984442016
Ca Osasuna,-0.15492464451335966,0.030198659547873402,63.0,1.0,1.001145014920801,5.84375,4.064516129032258,3.71875,4.354838709677419,5.563880122260517,4.33637669016782,3.5682042864877928,4.503041831431604,4.028203713364906,4.959870496945063,9.0,10.516129032258064,63,8.98807421030997,7.345605798657493
Celta Vigo,-0.16776742825756097,-0.10246749625992269,63.0,1.0,0.9974153560246148,4.548387096774194,4.03125,3.3548387096774195,4.6875,4.75241883362184,3.8659102179288802,3.6035286517823177,4.463739374550029,4.040461082394488,4.302128743111131,8.317460317460318,8.542754736303122,63,8.34258982550562,6.350879735714482
Elche CF,-0.1708759607702299,0.02913270534681559,63.0,1.0,1.001095430543433,6.096774193548387,3.875,3.064516129032258,4.875,5.5243863351457945,4.413709364911333,3.524687891525141,4.429041540600418,3.984042125976076,4.960232953439402,8.952380952380953,13.626728110599077,63,8.944275079415478,7.221661228294268
Getafe,-0.14110347015141353,-0.18593229695529429,63.0,1.0,0.9999239450849906,4.483870967741935,3.46875,4.32258064516129,3.9375,4.472072102505284,3.4810573706007144,3.63891150631248,4.613328568801194,4.133853506306748,3.9686995402680423,8.095238095238095,8.345622119815669,63,8.10255304657479,6.000198198566247
Girona FC,-0.04688488781507754,-0.01199174041674097,62.0,1.0,1.0027853168853988,5.75,3.7333333333333334,3.875,5.133333333333334,5.24581311827782,4.230521088402892,3.971316137846167,5.017491800578276,4.477530168200413,4.754542781241564,9.258064516129032,9.473294553146486,62,9.232072949441978,7.84559039350619
Levante UD,-0.3739031174695984,0.27192491779084776,63.0,1.0,1.0013005077834118,7.40625,5.483870967741935,2.96875,3.3870967741935485,7.122719191310473,5.7513911480478495,2.8106325767322984,3.5375518065304288,3.1683229913948705,6.447938725578071,9.634920634920634,16.267793138760883,63,9.616261716972941,7.514617090444481
Mallorca,-0.2254417709316892,0.2919549548664323,63.0,1.0,1.000239341057674,7.0625,6.0,3.25,4.096774193548387,7.408892258592693,5.6377398124192535,3.2435939585725695,4.105441739501551,3.6676777872836555,6.537372800951794,10.206349206349206,14.8115719406042,63,10.20505058823545,8.893684808715905
RCD Espanyol,-0.14848566220700393,0.12449476598347278,63.0,1.0,0.9969592443689438,5.806451612903226,5.0,3.838709677419355,4.21875,6.055261208648023,4.806873553843318,3.5322972602131246,4.527030583994004,4.037558631022461,5.421159542715475,9.428571428571429,11.023041474654375,63,9.458718173737935,8.124119658805116
Rayo Vallecano,0.16361797234490685,0.06459542859588337,62.0,1.0,0.9988621942529712,5.8125,4.266666666666667,4.9375,6.066666666666666,5.584558889122028,4.527505206855304,4.891288852175781,6.120615211303142,5.486124187237407,5.073081300928452,10.548387096774194,9.989423585404548,62,10.559205488165858,10.454595785561041
Real Betis,0.03825184247778087,-0.0015950430033459177,63.0,1.0,0.9998842867774486,5.3125,4.193548387096774,4.78125,5.032258064516129,5.238215232978381,4.271882765375235,4.395357875978518,5.440451484905782,4.909610286720505,4.7627183044752455,9.666666666666666,10.419354838709676,63,9.67232859119575,8.632076310688738
Real Madrid,0.2922934422402697,-0.15792399110285238,63.0,1.0,1.0016825688037916,4.625,3.3870967741935485,5.15625,7.709677419354839,4.452917361932965,3.544509741200061,5.604580748278439,7.241485444048489,6.410041789054177,4.005923135858044,10.428571428571429,12.184331797235021,63,10.41596492491222,9.518123518952793
Real Oviedo,-0.13389994648442766,0.09628627740177814,61.0,1.0,0.9996851692979491,5.3,5.354838709677419,3.933333333333333,4.290322580645161,5.992827021603711,4.6892871727369805,3.554461696464811,4.650637040314621,4.111534412191763,5.330372344310782,9.442622950819672,8.784153005464482,61,9.441906756502545,8.014197047344302
