team,attack,defense,matches_w,tempo,emp_against_factor,mu_total_vs_avg
Ac Milan,0.15292559686898408,-0.04628836206325056,61.0,1.0,1.0029606997539924,8.925342446161512
Atalanta,0.1524976406223604,-0.1358015278666232,61.0,1.0,0.9924116828464741,8.157629091110376
Bologna,0.06183700464818451,-0.25199813922128717,62.0,1.0,1.0001760258828154,6.633259596324714
Cagliari,-0.0657644111302736,0.148394112714233,62.0,1.0,0.9948482854230887,8.713618643014247
Como,-0.059141663098994546,-0.2319227714197121,62.0,1.0,1.0048481049426543,5.996602308558578
Cremonese,-0.25752575915211273,0.22043726110114778,61.0,1.0,1.0003024244763976,7.730464593078641
Fiorentina,-0.06510655525381748,-0.07668985897547895,62.0,1.0,1.0147482506530139,6.961960023079609
Genoa,-0.15777170815177727,0.1526082157391504,61.0,1.0,0.9959789853381568,7.981241445943169
Hellas Verona,-0.14260480848664148,0.16439617633493067,59.0,1.0,0.9827951287600006,8.199300365010824
Inter Milan,0.27275466073145654,-0.2850019011038303,59.0,1.0,0.9952503777267643,7.924904118429948
Juventus,0.08820196292517452,-0.09540112413965875,61.0,1.0,1.0232909832051165,7.9650108074386985
Lazio,0.0815543754380347,-0.06053522319727099,60.0,1.0,0.9923751428880738,8.19297118135989
Lecce,-1.0754840605875012e-05,0.2232175272362659,61.0,1.0,1.0020828228935093,10.028832895499294
Napoli,0.15558697919395134,-0.2881911991130394,62.0,1.0,1.0045995154454908,7.026250746106752
Parma,-0.07318055069431632,0.1525196885624693,59.0,1.0,1.0055248572168203,8.684993048674578
Pisa,-0.14295833132845376,0.18863742600103775,60.0,1.0,0.9979868857366533,8.397521108066298
Roma,0.02331960251636013,-0.21174254211930335,61.0,1.0,0.9952793525740504,6.644799521205014
Sassuolo,-0.07436314508494228,0.06431276287949847,62.0,1.0,1.0078804019123169,7.942333146306129
Torino,-0.101849966039817,0.04601756956368531,62.0,1.0,1.0003097537440155,7.586915091396407
Udinese,0.00781924799680805,0.1333779927434848,62.0,1.0,0.9936707444800262,9.239194459837842
