team,attack,defense,matches_w,tempo,emp_against_factor,against_emp_away,against_emp_home,for_emp_away,for_emp_home,mu_against_pred_away,mu_against_pred_home,mu_for_pred_away,mu_for_pred_home,mu_for_avg,mu_against_avg,total_emp_mean,total_emp_var,n_obs,mu_total_team_avg,mu_total_vs_avg
Ac Milan,0.14912585031733191,-0.0492451393845811,62.0,1.0,1.0027714602754698,4.533333333333333,3.9375,4.633333333333334,5.96875,4.763105754517683,3.722222184906305,4.662172427831509,5.9447598312569125,5.324153023147846,4.225875525040843,9.548387096774194,10.218931782125862,62,9.550028548188688,8.83209513803631
Atalanta,0.15924449917602457,-0.14221097388307455,62.0,1.0,0.9906054023161979,4.433333333333334,3.3125,4.4,6.25,4.299774929598434,3.462725719968811,4.758498768278686,5.9421837103794255,5.369432931943583,3.8677495310799195,9.209677419354838,11.119249074563724,62,9.237182463023503,8.129871158788166
Bologna,0.058819407939843034,-0.22950908102065706,63.0,1.0,0.9984339178080577,3.7096774193548385,3.40625,3.7419354838709675,6.03125,3.989448434661279,3.148405368176278,4.35834466832905,5.443037058478676,4.909299533166956,3.5622519564466755,8.46031746031746,13.92985151049667,63,8.471551489613631,6.738395750859502
Cagliari,-0.06955731528159735,0.15535837847069825,63.0,1.0,0.9936917315525547,5.40625,5.129032258064516,3.46875,5.0,5.867077285547646,4.682894239974849,3.7364849773386513,4.721719732822235,4.221283031624225,5.284384040900714,9.492063492063492,11.931387608806965,63,9.50566707252494,8.708613677260432
Como,-0.06344636175888183,-0.2150695230447315,63.0,1.0,1.002584879347963,4.290322580645161,3.03125,3.838709677419355,4.75,4.124225763906016,3.213073307957612,3.7504458989733593,4.837779053604165,4.302742104500118,3.6614181672338106,7.9523809523809526,8.82027649769585,63,7.964160271733929,6.04962124354356
Cremonese,-0.26363910880951275,0.22967616356082432,62.0,1.0,0.9999591238870794,6.53125,5.066666666666666,3.34375,3.5,6.451266579338338,5.150638099072952,3.002869412876697,3.859322069255969,3.417281988544087,5.821930217919602,9.241935483870968,12.579851930195666,62,9.239212206463689,7.725670423757099
Fiorentina,-0.06866561465807214,-0.0729428139989151,63.0,1.0,1.013577821265283,4.5625,3.870967741935484,3.6875,4.806451612903226,4.738590580514092,3.696103133357723,3.722090894101309,4.7865262033149305,4.245860649428647,4.225620566833975,8.46031746031746,7.897593445980544,63,8.471481216262621,6.937233901918273
Genoa,-0.1702576903155787,0.15294201806297802,62.0,1.0,0.9950629826373438,6.033333333333333,4.53125,3.533333333333333,4.09375,5.901804352471839,4.678770721881918,3.342034338784906,4.306668378322354,3.8399099720945564,5.270561188296396,9.080645161290322,10.829455314648335,62,9.110471160390953,7.855358247646725
Hellas Verona,-0.1343725945660154,0.16982140412879945,60.0,1.0,0.9822642904584475,6.4,4.266666666666667,3.1666666666666665,4.833333333333333,5.899148765307841,4.773553975174084,3.5316857004738313,4.469215689425888,4.000450694949859,5.336351370240963,9.333333333333334,12.80225988700565,60,9.336802065190822,8.280972060159195
Inter Milan,0.2817060939626558,-0.2940536572416208,60.0,1.0,0.9975229169837454,3.806451612903226,2.793103448275862,5.32258064516129,7.103448275862069,3.6598642077727175,2.921916111772979,5.545298700073251,6.858843272380485,6.180178576688414,3.3031892947061774,9.5,11.847457627118644,60,9.483367871394591,7.894481627584868
